title,description,datetime,category,source,link
"Sioux City, Iowa Man Found Guilty of Being a Prohibited Person in ... - Department of Justice",,2023-05-25 21:28:06+00:00,Tech,Department of Justice,https://news.google.com/rss/articles/CBMicGh0dHBzOi8vd3d3Lmp1c3RpY2UuZ292L3VzYW8tbmRpYS9wci9zaW91eC1jaXR5LWlvd2EtbWFuLWZvdW5kLWd1aWx0eS1iZWluZy1wcm9oaWJpdGVkLXBlcnNvbi1wb3NzZXNzaW9uLWZpcmVhcm3SAQA?oc=5
Gov. Bill Lee sends 100 Tennessee National Guard members to ... - Main Street Media of Tennessee,,2023-05-25 19:08:37+00:00,Tech,Main Street Media of Tennessee,https://news.google.com/rss/articles/CBMijQFodHRwczovL21haW5zdHJlZXRtZWRpYXRuLmNvbS9hcnRpY2xlcy9jaGVhdGhhbWNvdW50eWV4Y2hhbmdlL2dvdi1iaWxsLWxlZS1zZW5kcy0xMDAtdGVubmVzc2VlLW5hdGlvbmFsLWd1YXJkLW1lbWJlcnMtdG8tdS1zLXNvdXRoZXJuLWJvcmRlci_SAQA?oc=5
"Attorney General James Secures $300,000 from Online Sporting ... - New York State Attorney General",,2023-05-25 12:00:00+00:00,Tech,New York State Attorney General,https://news.google.com/rss/articles/CBMicmh0dHBzOi8vYWcubnkuZ292L3ByZXNzLXJlbGVhc2UvMjAyMy9hdHRvcm5leS1nZW5lcmFsLWphbWVzLXNlY3VyZXMtMzAwMDAwLW9ubGluZS1zcG9ydGluZy1nb29kcy1yZXRhaWxlcnMtZmFpbGluZ9IBAA?oc=5
Report puts some form to how US states are authenticating public ... - Biometric Update,,2023-05-24 20:22:00+00:00,Tech,Biometric Update,https://news.google.com/rss/articles/CBMicGh0dHBzOi8vd3d3LmJpb21ldHJpY3VwZGF0ZS5jb20vMjAyMzA1L3JlcG9ydC1wdXRzLXNvbWUtZm9ybS10by1ob3ctdXMtc3RhdGVzLWFyZS1hdXRoZW50aWNhdGluZy1wdWJsaWMtYmVuZWZpdHPSAQA?oc=5
Cyber Agencies Unveil Updated Ransomware Guide - Nextgov,,2023-05-24 19:10:00+00:00,Tech,Nextgov,https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3Lm5leHRnb3YuY29tL2N5YmVyc2VjdXJpdHkvMjAyMy8wNS9jeWJlci1hZ2VuY2llcy11bnZlaWwtdXBkYXRlZC1yYW5zb213YXJlLWd1aWRlLzM4NjczNy_SAQA?oc=5
SAM to SCAM? More on Contracting Site Troubles: Chelsea Meggitt - Bloomberg Government,,2023-05-24 10:30:58+00:00,Tech,Bloomberg Government,https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vYWJvdXQuYmdvdi5jb20vbmV3cy9zYW0tdG8tc2NhbS1tb3JlLW9uLWNvbnRyYWN0aW5nLXNpdGUtdHJvdWJsZXMtY2hlbHNlYS1tZWdnaXR0L9IBAA?oc=5
FAQs on government digital identity consultation response - GOV.UK,,2023-05-23 19:39:59+00:00,Tech,GOV.UK,https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vd3d3Lmdvdi51ay9nb3Zlcm5tZW50L25ld3MvZmFxcy1vbi1nb3Zlcm5tZW50LWRpZ2l0YWwtaWRlbnRpdHktY29uc3VsdGF0aW9uLXJlc3BvbnNl0gEA?oc=5
Drag show restaurant files federal lawsuit against Florida and Gov ... - HubcitySPOKES.com,,2023-05-23 03:05:54+00:00,Tech,HubcitySPOKES.com,https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vd3d3Lmh1YmNpdHlzcG9rZXMuY29tL2RyYWctc2hvdy1yZXN0YXVyYW50LWZpbGVzLWZlZGVyYWwtbGF3c3VpdC1hZ2FpbnN0LWZsb3JpZGEtYW5kLWdvdi1kZXNhbnRpc9IBAA?oc=5
If platforms are required to have your government IDs and face ... - R Street,,2023-05-22 15:34:57+00:00,Tech,R Street,https://news.google.com/rss/articles/CBMimgFodHRwczovL3d3dy5yc3RyZWV0Lm9yZy9jb21tZW50YXJ5L2lmLXBsYXRmb3Jtcy1hcmUtcmVxdWlyZWQtdG8taGF2ZS15b3VyLWdvdmVybm1lbnQtaWRzLWFuZC1mYWNlLXNjYW5zLWhhY2tlcnMtYW5kLWVuZW15LWdvdmVybm1lbnRzLWNhbi1hY2Nlc3MtdGhlbS10b28v0gEA?oc=5
Securely accessing your VA account online - VA News - Veterans Affairs (.gov),,2023-05-17 07:00:00+00:00,Tech,Veterans Affairs (.gov),https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vbmV3cy52YS5nb3YvMTE5NzYxL3NlY3VyZWx5LWFjY2Vzc2luZy15b3VyLXZhLWFjY291bnQtb25saW5lL9IBAA?oc=5
COVID-19 Funeral Assistance - FEMA,,2023-05-15 19:28:54+00:00,Tech,FEMA,https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vd3d3LmZlbWEuZ292L2Rpc2FzdGVyL2hpc3RvcmljL2Nvcm9uYXZpcnVzL2Vjb25vbWljL2Z1bmVyYWwtYXNzaXN0YW5jZdIBAA?oc=5
Creating An Account For VA.gov - Veterans Affairs,,2023-05-03 07:00:00+00:00,Tech,Veterans Affairs,https://news.google.com/rss/articles/CBMiO2h0dHBzOi8vd3d3LnZhLmdvdi9yZXNvdXJjZXMvY3JlYXRpbmctYW4tYWNjb3VudC1mb3ItdmFnb3Yv0gEA?oc=5
announces up to $200M in available grants to states to strengthen ... - US Department of Labor,,2023-04-27 07:00:00+00:00,Tech,US Department of Labor,https://news.google.com/rss/articles/CBMiN2h0dHBzOi8vd3d3LmRvbC5nb3YvbmV3c3Jvb20vcmVsZWFzZXMvZXRhL2V0YTIwMjMwNDI3LTDSAQA?oc=5
Americans deserve government tech that delivers - FedScoop,,2023-04-24 07:00:00+00:00,Tech,FedScoop,https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vZmVkc2Nvb3AuY29tL2FtZXJpY2Fucy1kZXNlcnZlLWdvdmVybm1lbnQtdGVjaC10aGF0LWRlbGl2ZXJzL9IBAA?oc=5
Menendez Calls for Shortened Processing Time for Amended Tax ... - Senator Menendez,,2023-04-19 07:00:00+00:00,Tech,Senator Menendez,https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3Lm1lbmVuZGV6LnNlbmF0ZS5nb3YvbmV3c3Jvb20vcHJlc3MvbWVuZW5kZXotY2FsbHMtZm9yLXNob3J0ZW5lZC1wcm9jZXNzaW5nLXRpbWUtZm9yLWFtZW5kZWQtdGF4LWZpbGluZ3PSAQA?oc=5
GSA names new Technology Transformation Services deputy director - FedScoop,,2023-04-12 07:00:00+00:00,Tech,FedScoop,https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vZmVkc2Nvb3AuY29tL2dzYS1uYW1lcy1uZXctdGVjaG5vbG9neS10cmFuc2Zvcm1hdGlvbi1zZXJ2aWNlcy1kZXB1dHktZGlyZWN0b3Iv0gEA?oc=5
